brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
audi,a6,automatic,5,diesel,1968,58000,,2675000,,18.53,187.74,5,
skoda,superb,automatic,7,petrol,1798,36000,,1099000,,13.7,157.75,5,
maruti,ertiga,manual,4,diesel,1248,63001,,725000,,24.52,88.5,7,
hyundai,creta,manual,6,petrol,1591,64000,,875000,,15.29,121.3,5,
mercedes-benz,c-class,automatic,2,diesel,2143,9000,,3950000,,19.27,170,5,
ford,ecosport,manual,2,petrol,1496,19338,,985000,,15.9,120.69,5,
hyundai,i20,manual,6,diesel,1396,39838,,565000,,22.54,88.73,5,
bmw,7,automatic,8,diesel,2993,89000,,1999000,,14.49,258,5,
hyundai,i20,manual,5,petrol,1197,39465,,625000,,18.6,81.83,5,
mahindra,xuv500,manual,9,diesel,2179,60000,,475000,,15.1,140,7,
ford,ecosport,manual,2,petrol,1496,17000,,915000,,15.9,120.69,5,
kia,seltos,manual,2,diesel,1493,25000,,1540000,,20.8,113.4,5,
maruti,eeco,manual,4,cng,1196,33304,,331000,,21.94,61.7,5,
maruti,swift,manual,6,petrol,1197,52000,,435000,,20.4,81.8,5,
skoda,superb,automatic,7,diesel,1968,80182,,1075000,,17.2,138.08,5,
hyundai,i20,manual,7,diesel,1396,120000,,550000,,22.54,88.73,5,
mercedes-benz,c-class,automatic,7,diesel,2143,80000,,1475000,,14.84,170,5,
maruti,vitara,manual,5,diesel,1248,45417,,750000,,24.3,88.5,5,
hyundai,grand,manual,5,petrol,1197,6200,,410000,,18.9,82,5,
ford,endeavour,automatic,3,diesel,3198,48000,,2899000,,10.91,197,7,
honda,city,manual,12,petrol,1497,58000,,260000,,17,118,5,
honda,city,manual,7,diesel,1498,48000,,525000,,26,98.6,5,
mercedes-benz,c-class,automatic,7,diesel,2143,87360,,1165000,,14.84,170,5,
mercedes-benz,c-class,automatic,7,diesel,2143,75000,,1450000,,11.78,167.62,5,
mahindra,xuv500,manual,2,diesel,2179,5000,,1588000,,15.1,152.87,7,
mahindra,xuv500,manual,7,diesel,2179,177000,,550000,,15.1,140,7,
honda,city,manual,7,diesel,1498,60000,,500000,,26,98.6,5,
maruti,swift dzire,manual,3,petrol,1197,45000,,634000,,21.21,81.8,5,
hyundai,creta,manual,6,petrol,1591,54525,,750000,,15.29,121.3,5,
ford,endeavour,automatic,9,diesel,2953,58000,,750000,,11.4,153.86,7,
honda,amaze,manual,4,petrol,1198,19500,,499000,,17.8,86.7,5,
maruti,swift,manual,5,petrol,1197,28000,,425000,,20.4,81.8,5,
toyota,innova,automatic,4,diesel,2755,50000,,1600000,,11.36,171.5,8,
honda,civic,automatic,12,petrol,1799,65000,,225000,,12.9,130,5,
maruti,baleno,manual,4,petrol,1197,61000,,525000,,21.4,83.1,5,
hyundai,creta,manual,4,diesel,1582,110000,,1045000,,19.67,126.2,5,
skoda,rapid,automatic,7,diesel,1498,72000,,515000,,21.66,103.52,5,
mahindra,thar,manual,2,diesel,2498,15000,,950000,,16.55,105,6,
mahindra,xuv500,manual,8,diesel,2179,61845,,575000,,15.1,140,7,
maruti,vitara,automatic,3,diesel,1248,37000,,795000,,24.3,88.5,5,
bmw,5,automatic,13,diesel,2495,70000,,550000,,16.73,218,5,
volkswagen,polo,manual,11,petrol,1198,106451,,225000,,16.47,73.9,5,
toyota,innova,manual,3,diesel,2393,46000,,1740000,,13.68,147.8,7,
mahindra,thar,manual,8,diesel,2498,56000,,515000,,16.55,105,7,
mg,hector,manual,1,petrol,1451,1000,,1490000,,15.81,141,5,
maruti,wagon r,manual,4,cng,998,36954,,350000,,26.6,58.16,5,
maruti,baleno,manual,3,petrol,1197,21000,,675000,,21.4,83.1,5,
audi,a4,automatic,6,diesel,1968,62000,,1549000,,17.11,174.33,5,
hyundai,i20,manual,3,petrol,1197,24132,,625000,,20.35,81.86,5,
maruti,swift dzire,manual,6,diesel,1248,79000,,425000,,19.3,73.9,5,
honda,city,manual,6,diesel,1498,66000,,575000,,26,98.6,5,
hyundai,grand,manual,4,petrol,1197,50021,,470000,,18.9,82,5,
mercedes-benz,e-class,automatic,7,diesel,2143,40000,,1790000,,13,201.1,5,
maruti,wagon r,manual,8,petrol,998,36900,,265000,,21.79,67.05,5,
audi,a4,automatic,8,petrol,1395,48000,,1450000,,17.84,147.51,5,
ford,ecosport,manual,8,diesel,1498,55000,,395000,,22.7,89.84,5,
toyota,fortuner,manual,9,diesel,2982,55000,,1050000,,13,168.7,7,
hyundai,i20,manual,4,petrol,1197,50740,,600000,,18.6,81.83,5,
hyundai,creta,manual,3,diesel,1396,70000,,875000,,21.38,88.7,5,
tata,nexon,automatic,3,petrol,1198,27700,,890000,,17,108.5,5,
honda,city,manual,7,diesel,1498,42000,,625000,,25.1,98.6,5,
hyundai,santro,automatic,2,petrol,1086,2565,,550000,,20.3,68.07,5,
skoda,superb,automatic,12,petrol,1798,83546,,310000,,13.7,157.75,5,
skoda,rapid,automatic,4,diesel,1498,59000,,735000,,21.72,108.6,5,
hyundai,creta,automatic,5,petrol,1591,54400,,980000,,13,121.3,5,
mahindra,scorpio,manual,7,diesel,2179,70000,,450000,,12.05,120,9,
maruti,swift dzire,manual,5,petrol,1197,52490,,465000,,19,85.8,5,
maruti,ciaz,manual,4,diesel,1248,48000,,711000,,28.09,88.5,5,
tata,nexon,manual,3,petrol,1198,24000,,750000,,17,108.5,5,
maruti,baleno,automatic,2,petrol,1197,9000,,650000,,21.4,83.1,5,
ford,ecosport,manual,6,diesel,1498,46000,,570000,,22.7,89.84,5,
honda,amaze,manual,8,diesel,1498,78000,,365000,,25.8,98.6,5,
ford,ecosport,manual,2,diesel,1498,19925,,949000,,23,98.96,5,
mercedes-benz,gl-class,automatic,5,diesel,2143,35000,,3600000,,17.9,167.6,5,
maruti,swift dzire,manual,6,diesel,1248,150000,,330000,,26.59,74,5,
honda,civic,manual,11,petrol,1799,36000,,375000,,14.8,130.2,5,
maruti,wagon r,manual,3,petrol,998,7000,,410000,,20.51,67.06,5,
hyundai,creta,automatic,5,diesel,1582,79000,,970000,,17.01,126.2,5,
maruti,ertiga,manual,2,petrol,1462,5298,,900000,,19.34,103,7,
maruti,wagon r,manual,6,cng,998,128000,,283000,,26.6,58.16,5,
toyota,innova,manual,9,diesel,2494,85000,,575000,,12.8,102,7,
maruti,celerio,manual,2,cng,998,40000,,465000,,30.47,58.33,5,
